contaminante,n
Monóxido de carbono,91753
Dióxido de carbono (CO2),89686
Mercurio,88381
NOx,82995
MP10,73962
"MP2,5",73160
Material particulado,72677
Nitrógeno amoniacal (o NH3),69378
Compuestos Orgánicos Volátiles,68866
Dióxido de azufre (SO2),68419
Dibenzoparadioxinas policloradas y furanos (PCDD/F),67690
Benceno,59035
Tolueno / metil benceno / Toluol / Fenilmetano,58304
Arsénico,35244
Carbon monoxide,23710
Carbon dioxide,23645
Mercury,23506
Benzene,21530
Toluene,20942
Nitrogen oxides (NOx),17705
Sulfur oxides (SOx),14947
Plomo,11699
Black Carbon,11332
"PM10, primary",9275
Sulfur dioxide,9226
"PM2.5, primary",9199
Lead,7288
Arsenic,7288
Ammonia,7261
"PM, primary",7214
Volatile organic compounds (VOC),6656
Methane,4352
Dióxido de azúfre (SO2),3657
Nitrous oxide,3526
PCDD-F,1214
